date,PERMNO,TICKER,PRC,C_strike_price,P_strike_price,option_days,rate,daily_rate,PV_strike_price,PutCallParity,PutCallRatio
2017-01-03,10107,MSFT,62.58,62.28755,62.28755,60,0.733529,0.002009668493150685,55.21206270905817,7.367937290941825,0.9334889973820137
2017-01-04,10107,MSFT,62.3,62.007683,62.007683,60,0.728556,0.0019960438356164383,55.008937200465276,7.291062799534721,1.240324405884572
2017-01-05,10107,MSFT,62.3,62.008452,62.008452,60,0.728556,0.0019960438356164383,55.0096194041965,7.290380595803498,0.9298626174981923
2017-01-06,10107,MSFT,62.84,62.550223,62.550223,60,0.727934,0.001994339726027397,55.49591522491916,7.3440847750808445,0.6388493253373313
2017-01-09,10107,MSFT,62.64,62.351875,62.351875,60,0.728556,0.0019960438356164383,55.31428059013688,7.325719409863119,0.9991541552125185
2017-01-10,10107,MSFT,62.62,62.332634,62.332634,60,0.729799,0.001999449315068493,55.28591364600703,7.334086353992966,0.733639900955076
2017-01-11,10107,MSFT,63.19,62.892467,62.892467,60,0.727313,0.0019926383561643837,55.80525796091843,7.384742039081566,0.5989797398578405
2017-01-12,10107,MSFT,62.61,62.31189,62.31189,60,0.727313,0.0019926383561643837,55.29010486235774,7.319895137642263,0.44160985626283367
2017-01-13,10107,MSFT,62.7,62.402589,62.402589,60,0.731043,0.002002857534246575,55.336643093618335,7.363356906381668,0.8655384154560432
2017-01-17,10107,MSFT,62.53,62.233723,62.233723,60,0.730421,0.0020011534246575343,55.192541023258336,7.337458976741665,0.3952290959580376
2017-01-18,10107,MSFT,62.5,62.204769,62.204769,60,0.734151,0.002011372602739726,55.13304767426084,7.366952325739163,0.4481974343115935
2017-01-19,10107,MSFT,62.3,62.005932,62.005932,60,0.734151,0.002011372602739726,54.95681536962183,7.343184630378168,0.44394154215290654
2017-01-20,10107,MSFT,62.74,62.44697,62.44697,60,0.733529,0.002009668493150685,55.35337356551469,7.386626434485315,0.43375060752144384
2017-01-23,10107,MSFT,62.96,62.667614,62.667614,60,0.732286,0.0020062630136986302,55.56030515640374,7.399694843596258,0.5229588216931067
2017-01-24,10107,MSFT,63.52,63.229261,63.229261,60,0.732908,0.002007967123287671,56.052522732564434,7.467477267435569,0.5415921288014311
2017-01-25,10107,MSFT,63.68,63.39026,63.39026,60,0.733529,0.002009668493150685,56.18951155188319,7.490488448116807,0.7063148636763412
2017-01-26,10107,MSFT,64.27,63.981449,63.981449,60,0.731664,0.002004558904109589,56.73093471286664,7.539065287133354,0.5055829058652069
2017-01-27,10107,MSFT,65.78,65.494152,65.494152,60,0.730421,0.0020011534246575343,58.084082018418165,7.695917981581836,0.4574747032599965
2017-01-30,10107,MSFT,65.13,64.844335,64.844335,60,0.732286,0.0020062630136986302,57.49015815831239,7.6398418416876055,0.8330163508243825
