date,dix,gex
2017-08-14,0.406275254,2444267278
2017-08-15,0.415967044,2465323194
2017-08-16,0.404187854,2494515507
2017-08-17,0.437991899,-150856112.1
2017-08-18,0.42503069,660227661
2017-08-21,0.390280189,582867140.8
2017-08-22,0.39030999,1867699282
2017-08-23,0.409688255,1540224820
2017-08-24,0.395916275,1256576764
2017-08-25,0.419787667,1296966623
2017-08-28,0.413433771,1424962016
2017-08-29,0.421705373,1836728487
2017-08-30,0.424532862,2988261801
2017-08-31,0.43465614,4140015062
2017-09-01,0.436810761,3129196677
2017-09-05,0.418397116,2211126450
2017-09-06,0.413845288,2689585474
2017-09-07,0.412572161,3312763794
2017-09-08,0.410666547,2114815472
2017-09-11,0.387100878,3619729369
2017-09-12,0.42141478,4255184663
2017-09-13,0.410813587,4942817316
2017-09-14,0.417555293,3820455990
2017-09-15,0.419786116,2400578162
2017-09-18,0.391772344,2315047560
2017-09-19,0.392476939,2560995797
2017-09-20,0.408270665,2946040211
2017-09-21,0.389327729,2446882060
2017-09-22,0.383795067,2272641441
2017-09-25,0.387631198,1782573616
2017-09-26,0.389115935,2008563330
2017-09-27,0.402368126,2925713102
2017-09-28,0.403038732,3307177590
2017-09-29,0.400527667,3137768694
2017-10-02,0.406005084,3393331794
2017-10-03,0.403984125,3765100670
2017-10-04,0.396939808,3903871091
2017-10-05,0.404193997,5258615224
2017-10-06,0.431491239,4106554576
2017-10-09,0.406523453,4170444453
2017-10-10,0.404306704,4303231199
2017-10-11,0.410020578,5023978813
2017-10-12,0.395998424,5111977258
2017-10-13,0.379596732,4516960354
2017-10-16,0.38531509,4995564433
2017-10-17,0.401742273,5487357785
2017-10-18,0.397128499,5474784833
2017-10-19,0.405627869,4847992925
2017-10-20,0.397406208,3158333647
2017-10-23,0.394107791,2746394034
2017-10-24,0.379048563,3088273413
2017-10-25,0.408204703,2587684238
2017-10-26,0.38588221,2925319418
2017-10-27,0.373216966,3701538831
2017-10-30,0.397257513,3566666882
2017-10-31,0.404548927,3696707777
2017-11-01,0.404969574,4096593319
2017-11-02,0.41991359,4125236220
2017-11-03,0.409575791,3975769181
2017-11-06,0.413734141,4219761342
2017-11-07,0.424560197,4232304485
2017-11-08,0.393730275,4625795733
2017-11-09,0.389472846,4379971514
2017-11-10,0.37356908,3671429599
2017-11-13,0.37116031,3988331512
2017-11-14,0.352842816,3775361878
2017-11-15,0.350469432,2973086457
2017-11-16,0.356192247,4708182203
2017-11-17,0.385371248,2551103397
2017-11-20,0.341090094,2798334560
2017-11-21,0.342631602,4234323717
2017-11-22,0.360925968,4452596018
2017-11-24,0.338535756,3681749089
2017-11-27,0.360858812,3824847562
2017-11-28,0.340461482,4415707565
2017-11-29,0.346608248,3077547281
2017-11-30,0.350456391,4005437413
2017-12-01,0.384371096,3565285025
2017-12-04,0.354491545,3179143493
2017-12-05,0.356842374,3006323536
2017-12-06,0.3660326,3221604442
2017-12-07,0.360674045,4078856890
2017-12-08,0.361940858,4286751542
2017-12-11,0.358350123,5002864391
2017-12-12,0.359852995,4812998492
2017-12-13,0.353006855,4925521443
2017-12-14,0.359296639,4995921854
2017-12-15,0.35207941,4052381578
2017-12-18,0.352538048,4789244131
2017-12-19,0.342625974,4487952789
2017-12-20,0.375862849,4195335915
2017-12-21,0.366569286,4418995151
2017-12-22,0.383272716,4096336395
2017-12-26,0.398047583,3825725876
2017-12-27,0.356079325,4128878605
2017-12-28,0.370436122,4664796614
2017-12-29,0.391725726,3351766525
