date,PERMNO,TICKER,PRC,C_strike_price,P_strike_price,option_days,rate,daily_rate,PV_strike_price,PutCallParity,PutCallRatio
2017-01-03,84398,SPY,225.24001,225.59331,225.59331,60,0.733529,0.002009668493150685,199.96728043507892,25.272729564921093,1.2602447851927026
2017-01-04,84398,SPY,226.58,226.937505,226.937505,60,0.728556,0.0019960438356164383,201.32329345341407,25.256706546585946,1.1518992442897533
2017-01-05,84398,SPY,226.39999,226.760027,226.760027,60,0.728556,0.0019960438356164383,201.1658472195907,25.234142780409314,2.153345661256078
2017-01-06,84398,SPY,227.21001,227.574647,227.574647,60,0.727934,0.001994339726027397,201.90916533187902,25.300844668120988,1.4716576445207943
2017-01-09,84398,SPY,226.46001,226.830625,226.830625,60,0.728556,0.0019960438356164383,201.2284768932148,25.231533106785207,1.8048677686117882
2017-01-10,84398,SPY,226.46001,226.833508,226.833508,60,0.729799,0.001999449315068493,201.18992140311036,25.27008859688965,1.2654968751882127
2017-01-11,84398,SPY,227.10001,227.434395,227.434395,60,0.727313,0.0019926383561643837,201.80533039291362,25.29467960708638,1.6581657571829118
2017-01-12,84398,SPY,226.53,226.864549,226.864549,60,0.727313,0.0019926383561643837,201.2996990423737,25.230300957626298,1.3499423782477182
2017-01-13,84398,SPY,227.05,227.387379,227.387379,60,0.731043,0.002002857534246575,201.63993894093602,25.41006105906399,1.4429206303128455
2017-01-17,84398,SPY,226.25,225.26031,225.26031,60,0.730421,0.0020011534246575343,199.77414657623635,26.475853423763652,1.9835579108619086
2017-01-18,84398,SPY,226.75,225.765024,225.765024,60,0.734151,0.002011372602739726,200.09902828145928,26.650971718540717,3.4103124807564678
2017-01-19,84398,SPY,225.91,224.929072,224.929072,60,0.734151,0.002011372602739726,199.35811111047207,26.55188888952793,2.0147240580612595
2017-01-20,84398,SPY,226.74001,225.761644,225.761644,60,0.733529,0.002009668493150685,200.11649271528685,26.62351728471316,1.4273032635255956
2017-01-23,84398,SPY,226.14999,225.171803,225.171803,60,0.732286,0.0020062630136986302,199.63444096176423,26.515549038235775,1.8852272119490712
2017-01-24,84398,SPY,227.60001,226.626852,226.626852,60,0.732908,0.002007967123287671,200.90392600886977,26.696083991130223,1.505471293651284
2017-01-25,84398,SPY,229.57001,228.602646,228.602646,60,0.733529,0.002009668493150685,202.63477414681788,26.93523585318212,0.9874267010911799
2017-01-26,84398,SPY,229.33,228.363174,228.363174,60,0.731664,0.002004558904109589,202.4845719736201,26.84542802637992,1.8566145915442083
2017-01-27,84398,SPY,228.97,228.003656,228.003656,60,0.730421,0.0020011534246575343,202.2071078285463,26.7628921714537,1.815507500752322
2017-01-30,84398,SPY,227.55,226.58566,226.58566,60,0.732286,0.0020062630136986302,200.88794849705215,26.66205150294786,1.7399095127351132
2017-01-31,84398,SPY,227.53,226.566655,226.566655,60,0.731664,0.002004558904109589,200.8916383390689,26.63836166093111,1.3639454637266453
2017-02-01,84398,SPY,227.62,226.658229,226.658229,60,0.731664,0.002004558904109589,200.97283497804148,26.64716502195853,1.4026961515399237
